trial,ns
1718,40.0
1719,41.0
1720,41.0
1721,41.0
1722,40.0
1723,41.0
1724,39.0
1725,39.0
1726,40.0
1727,40.0
1728,41.0
1729,41.0
1730,41.0
1731,41.0
1732,41.0
1733,42.0
1734,40.0
1735,40.0
1736,41.0
1737,41.0
1738,42.0
1739,41.0
1740,41.0
1741,42.0
1742,40.0
1743,40.0
1744,41.0
1745,41.0
1746,41.0
1747,41.0
1748,40.0
1749,41.0
1750,39.0
1751,41.0
1752,41.0
1753,40.0
1754,41.0
1755,41.0
1756,39.0
1757,39.0
1758,42.0
1759,40.0
1760,41.0
1761,41.0
1762,41.0
1763,40.0
1764,41.0
1765,40.0
1766,42.0
1767,41.0
1768,40.0
1769,40.0
1770,41.0
1771,40.0
1772,42.0
1773,41.0
1774,40.0
1775,40.0
1776,41.0
1777,41.0
1778,40.0
1779,40.0
1780,40.0
1781,41.0
1782,41.0
1783,41.0
1784,42.0
1785,41.0
1786,41.0
1787,42.0
1788,40.0
1789,41.0
1790,41.0
1791,41.0
1792,41.0
1793,40.0
1794,41.0
1795,41.0
1796,40.0
1797,40.0
1798,40.0
1799,41.0
1800,41.0
1801,39.0
1802,41.0
1803,41.0
1804,40.0
1805,42.0
1806,41.0
1807,42.0
1808,41.0
1809,41.0
1810,40.0
1811,41.0
1812,41.0
1813,39.0
1814,41.0
1815,41.0
1816,40.0
1817,40.0
1818,41.0
1819,41.0
1820,41.0
1821,40.0
1822,41.0
1823,41.0
1824,40.0
1825,40.0
1826,41.0
1827,39.0
1828,41.0
1829,41.0
1830,40.0
1831,40.0
1832,41.0
1833,41.0
1834,41.0
1835,41.0
1836,42.0
1837,41.0
1838,42.0
1839,40.0
1840,41.0
1841,40.0
1842,41.0
1843,41.0
1844,41.0
1845,41.0
1846,41.0
1847,40.0
1848,41.0
1849,41.0
1850,40.0
1851,41.0
1852,41.0
1853,41.0
1854,41.0
1855,40.0
1856,41.0
1857,41.0
1858,41.0
1859,41.0
1860,41.0
1861,42.0
1862,41.0
1863,41.0
1864,41.0
1865,41.0
1866,40.0
1867,42.0
1868,41.0
1869,40.0
1870,41.0
1871,40.0
1872,41.0
1873,41.0
1874,42.0
1875,40.0
1876,41.0
1877,42.0
1878,41.0
1879,40.0
1880,41.0
1881,41.0
1882,42.0
1883,41.0
1884,40.0
1885,39.0
1886,40.0
1887,39.0
1888,41.0
1889,41.0
1890,42.0
1891,41.0
1892,42.0
1893,40.0
1894,41.0
1895,40.0
1896,41.0
1897,41.0
